Date,QQQ,SPY,EEM,EWZ,XLF,BAC,JPM,BRK-B,NU,VALE,VIST,MELI,IEF,EMB,AAAU,BTC-USD,GGAL
2024-01-01,,,,,,,,,,,,,,,,,
2024-01-02,,,,,,,,,,,,,,,,0.017900939051301412,
2024-01-03,-0.010581500223482032,-0.00816659725440283,-0.00553596429208314,0.0017458049717893331,-0.008474472363452112,-0.01091451602057203,-0.004358287869435151,0.011835812630519138,-0.004920044439111093,-0.005728883122364303,0.056471434494081985,-0.019069314870846954,0.002395135370481194,-0.0038557171021093017,-0.008337424295375429,-0.04692812036242189,-0.010613069758354077
2024-01-04,-0.005146467931006815,-0.003221160155183922,-0.0032894708068091916,-0.01045611688216852,0.004006450881586243,0.008052561448247397,0.0066360805488541175,-0.00837084478314587,0.01854136164413922,-0.012163818491856881,-0.021248382442387692,0.012920003255208368,-0.006025181231269716,-0.004553732665562027,0.0009891423562247148,0.03108057856532498,-0.032181174554985925
2024-01-05,0.001185978599018478,0.0013697203270663927,0.0012693265869947457,0.011447017784110836,0.004256501014730629,0.018639024787734604,0.005017126714132125,0.00525187995098797,0.040048535542771546,-0.008425171515960228,0.010515650546292443,0.012801242025937576,-0.0036582169416589094,-0.003087882800704822,0.0,-0.0003900067727314882,0.015394101258017878
2024-01-06,,,,,,,,,,,,,,,,-0.003928567037593367,
2024-01-07,,,,,,,,,,,,,,,,-0.0010479313368322307,
2024-01-08,0.02066800718531181,0.014275917147605233,0.002789036800618927,0.0020313577414925454,0.0063575367036470265,-0.007842067204483327,-0.001451069946637018,0.007084428906246387,0.0373396335931957,-0.0019608007361749946,0.02148369822019225,0.02389479057551136,0.003356752851248146,0.0012619903166826152,-0.007905130890387913,0.06889378335779228,0.0066706600412385075
2024-01-09,0.0019755102127316793,-0.001517030701243094,-0.014159198010935348,-0.014190449605792965,-0.006317373768046086,-0.01551520391363681,-0.007906053478669794,-0.003476557131728897,0.004499433105542128,-0.022265887194130363,-0.031219216346109246,-0.0014343804269129068,-0.00041821080919002274,-0.0038953848276412906,0.0,-0.017687130611972357,-0.06686741060932833
2024-01-10,0.006777564391545088,0.005655384111332928,-0.0023083653813757987,-0.0014689219231358575,0.0015893586251654046,-0.0008920814010398015,0.0021094750687069563,0.0027801023391071933,0.016797269138203008,-0.010716652470087129,-0.005766624115796981,0.01577540067536143,-0.0015688852659906383,0.007131255932082414,-0.001991982486588051,0.010577584004972662,0.038734645080503505
2024-01-11,0.0020808654911859126,-0.00044059364563897585,0.004113167804725926,0.005001496124509952,-0.003702754724208668,-0.013392705701440022,-0.004210069101606484,-0.012448404334338692,-0.0011013468024076989,0.007447497840972872,0.012282518488950345,-0.004054650554489725,0.005342657434428633,0.009022406184890253,0.0019959584007662734,-0.005558733892443213,-0.01926667410668803
2024-01-12,0.0005129590481827151,0.0006926758661729426,0.0035841807509591206,0.0052692657312003455,-0.0018582068258041762,-0.010558156995377543,-0.007340097984071647,0.0007706247099659169,0.02094824040248211,-0.007392442640369201,0.041456000642854374,0.04203099874737748,0.002709183616027122,0.0018109424827594811,0.009960197395386228,-0.07581464687080208,0.012674243078070413
2024-01-13,,,,,,,,,,,,,,,,-0.0002516769882185965,
2024-01-14,,,,,,,,,,,,,,,,-0.0244177193838242,
2024-01-15,,,,,,,,,,,,,,,,0.01712351907901466,
